,Context before,token,Context after,Sense
483,sciarre of Etna ( the cheires of Auvergne ) an appearance far more removed from pristine fluidity than the glacier,masses,"of Switzerland . In traversing many miles of lava wastes between Nicolosi and Zafarana , on the eastern slope of",N
484,"st.f . ) , but the stapes itself covers the fenestra ovalis . When it is removed , the otoconial",masses,"shine through the fenestra ( fs.o . ) . I shall next describe the tardy-growing antero-superior segment , which attaches",N
485,. The mass of germinal matter is very much wider than the muscle . Often three or four of these,masses,"are seen close together ( Plate XXI . fig. 9 ) , while for some distance above and below the",N
486,"a special fold of membrane over the oral entrance ( m).That space would be large , but two additional lingual",masses,", the paired rows of teeth ( s.l.t. ) said their membranous and cartilaginous settings fill the greater part of",N
487,", in which crystals of garnet are imbedded . I conceive that these veins are connected with the neighbouring granitic",masses,". They are best seen by skirting the cliffs which bound the west side of the Gave , -a walk",N
488,"takes from the cranial cavity ( Plate X. fig. 9 ) ; outside , as in the Lacertians , these",masses,"project so as to increase the breadth of the skull threefold , thus throwing out the mandibular pier , and",N
489,". The rotation and other movemenits affectingo the "" protoplasm "" of certain vegetable cells , and the motion of",masses,of germinal matter in various tissues of man and animals must be included in this class of vital movements* .,N
490,"deportment when suspended between the top or the bottom edges . Having found that the fibre of wood , ,in",masses,"where form had no influence , always set equatorial , I proposed to set this tendency to contend with an",N
491,"as near to the planet as possible . Next , when , we have . Thus , when the two",masses,"are equal , their distance apart is only about radii of either , and they will overlap . Here again",M
492,", in a morning soon after a night 's repose , during which it seems to accumulate . A few",masses,", or nodules , then appear of the consistence of jelly , and of the size of a pea to",N
493,of the hydraulic press in which the finely divided gun-cotton or pulp has been converted into homogeneous and very compact,masses,( of about the density of water ) by the application of a pressure of about six tons upon the,N
494,"although it has not been rigorously proved , that this last series of figures ends by fission into two detached",masses,"round one another as in the ordinary binary star formation . Assuming this , we may regard the passing of",N
495,would make the form into an ovoid . A rather narrow tract of cartilage divides the right and left bony,masses,"of the hind skull , but the prootic is confluent with the ex-occipital e.o. ) . This common bony mass",N
496,", belonging to Messrs. WIGRAM . The yacht was protected by about 42 part of malleable iron placed in two",masses,"in the stern . She had been occasionally employed in sailing , and had been sometines in harbour , during",N
497,"the other end of the pear-shaped series of figures , on the supposition that this other end represents two detached",masses,revolving about one another . Two such series of figures appear to exist ; in one the satellite is spheroidal,N
498,"fig. 19 . g. ) . 16 . In figs. 2 . and 3 , g , are presented elliptic",masses,of the same kind of peculiar granules . One of these masses ( fig. 2 . g. ) measured Aoth,N
499,"are obtained only on evaporating their solutions nearly to dryness , when the salts separate in the form of radiated",masses,; the sulphate and nitrate have not as yet been obtained in the solid form . Hydrobromate of Ethylaniline .,N
500,". The loading would introduce an additional degree of freedom , and therefore , since the loaded molecules are corresponding",masses,", the loading must be such as to keep the centre of mass of the whole molecule in geometrically corresponding",M
501,"translation : "" The hitherto generally prevailing theory explains the movement of the glaciers by gravity alone . The glacier",masses,"are considered as RIGID BODIES , which slide down over their rocky beds partly by their own weight , partly",N
502,they are then seen to be crystalline . The ingot of Sn 50 ( fig. 94 ) contains around the,masses,"of H a considerable amount of tin-rich eutectic , in other words the H does not fill the alloy ;",N
503,in the present paper carried the calculations further than second-order terms . The theory of figures of equilibrium of rotating,masses,of liquid is at present in an unsatisfactory state . It has been shown by Lord KELVIN that the Jacobian,N
504,were unexpected . 26 . The most delicate apparatus for general experiment is made with a straw beam having pith,masses,at the end . The general apparatus is shown in the annexed figure ( fig. 2 ) :\#151 ; A,N
505,"appearance was that of dense white vapour , resembling snow or bleached wool , which , thrown up in continuous",masses,", rose to a great height , and assumed various extraordinary forms . This effect , in all probability ,",COL
